sample,total_count,population,count,percentage
sample00015,102691,nk_cell,15753,15.34
sample00016,95824,b_cell,7433,7.757
sample00016,95824,cd4_t_cell,33881,35.358
sample00016,95824,cd8_t_cell,22881,23.878
sample00016,95824,monocyte,22197,23.164
sample00016,95824,nk_cell,9432,9.843
sample00017,98639,b_cell,3226,3.271
sample00017,98639,cd4_t_cell,36405,36.907
sample00017,98639,cd8_t_cell,20404,20.686
sample00017,98639,monocyte,17865,18.111
sample00017,98639,nk_cell,20739,21.025
sample00018,101123,b_cell,3578,3.538
sample00018,101123,cd4_t_cell,32675,32.312
sample00018,101123,cd8_t_cell,29520,29.192
sample00018,101123,monocyte,19813,19.593
sample00018,101123,nk_cell,15537,15.364
sample00019,97405,b_cell,8022,8.236
sample00019,97405,cd4_t_cell,30759,31.578
sample00019,97405,cd8_t_cell,27175,27.899
sample00019,97405,monocyte,20466,21.011
sample00019,97405,nk_cell,10983,11.276
sample00020,97228,b_cell,6382,6.564
sample00020,97228,cd4_t_cell,32731,33.664
sample00020,97228,cd8_t_cell,17469,17.967
sample00020,97228,monocyte,22590,23.234
sample00020,97228,nk_cell,18056,18.571
sample00021,100750,b_cell,10337,10.26
sample00021,100750,cd4_t_cell,31535,31.3
sample00021,100750,cd8_t_cell,19144,19.001
sample00021,100750,monocyte,26971,26.77
sample00021,100750,nk_cell,12763,12.668
sample00022,92670,b_cell,9563,10.319
sample00022,92670,cd4_t_cell,32814,35.41
sample00022,92670,cd8_t_cell,22424,24.198
sample00022,92670,monocyte,16304,17.594
sample00022,92670,nk_cell,11565,12.48
sample00023,104960,b_cell,6924,6.597
sample00023,104960,cd4_t_cell,29844,28.434
sample00023,104960,cd8_t_cell,28080,26.753
sample00023,104960,monocyte,24320,23.171
sample00023,104960,nk_cell,15792,15.046
sample00024,99969,b_cell,7552,7.554
sample00024,99969,cd4_t_cell,35270,35.281
sample00024,99969,cd8_t_cell,27821,27.83
sample00024,99969,monocyte,9645,9.648
sample00024,99969,nk_cell,19681,19.687
sample00025,95534,b_cell,11714,12.262
sample00025,95534,cd4_t_cell,30323,31.741
sample00025,95534,cd8_t_cell,21407,22.408
sample00025,95534,monocyte,11789,12.34
sample00025,95534,nk_cell,20301,21.25
sample00026,95777,b_cell,7936,8.286
sample00026,95777,cd4_t_cell,34545,36.068
sample00026,95777,cd8_t_cell,23786,24.835
sample00026,95777,monocyte,15581,16.268
sample00026,95777,nk_cell,13929,14.543
sample00027,93164,b_cell,8850,9.499
sample00027,93164,cd4_t_cell,26079,27.993
sample00027,93164,cd8_t_cell,21268,22.829
sample00027,93164,monocyte,18776,20.154
sample00027,93164,nk_cell,18191,19.526
sample00028,106062,b_cell,11386,10.735
sample00028,106062,cd4_t_cell,28400,26.777
sample00028,106062,cd8_t_cell,28155,26.546
sample00028,106062,monocyte,29251,27.579
sample00028,106062,nk_cell,8870,8.363
sample00029,97156,b_cell,5606,5.77
sample00029,97156,cd4_t_cell,31305,32.221
sample00029,97156,cd8_t_cell,28476,29.31
sample00029,97156,monocyte,15909,16.375
sample00029,97156,nk_cell,15860,16.324
sample00030,93972,b_cell,6413,6.824
sample00030,93972,cd4_t_cell,20437,21.748
sample00030,93972,cd8_t_cell,25167,26.781
sample00030,93972,monocyte,19638,20.898
sample00030,93972,nk_cell,22317,23.749
sample00031,106625,b_cell,7007,6.572
sample00031,106625,cd4_t_cell,31653,29.686
sample00031,106625,cd8_t_cell,30482,28.588
sample00031,106625,monocyte,23316,21.867
sample00031,106625,nk_cell,14167,13.287
sample00032,101357,b_cell,11118,10.969
sample00032,101357,cd4_t_cell,32582,32.146
sample00032,101357,cd8_t_cell,19704,19.44
sample00032,101357,monocyte,17350,17.118
sample00032,101357,nk_cell,20603,20.327
sample00033,93131,b_cell,9054,9.722
sample00033,93131,cd4_t_cell,24897,26.733
sample00033,93131,cd8_t_cell,31679,34.016
sample00033,93131,monocyte,11932,12.812
sample00033,93131,nk_cell,15569,16.717
sample00034,103870,b_cell,8350,8.039
sample00034,103870,cd4_t_cell,36716,35.348
sample00034,103870,cd8_t_cell,26526,25.538
sample00034,103870,monocyte,21284,20.491
sample00034,103870,nk_cell,10994,10.584
sample00035,94622,b_cell,5327,5.63
sample00035,94622,cd4_t_cell,38264,40.439
sample00035,94622,cd8_t_cell,28094,29.691
sample00035,94622,monocyte,15688,16.58
sample00035,94622,nk_cell,7249,7.661
sample00036,103532,b_cell,8635,8.34
sample00036,103532,cd4_t_cell,31787,30.703
sample00036,103532,cd8_t_cell,29458,28.453
sample00036,103532,monocyte,17154,16.569
sample00036,103532,nk_cell,16498,15.935
sample00037,92368,b_cell,8915,9.652
sample00037,92368,cd4_t_cell,24564,26.594
sample00037,92368,cd8_t_cell,21012,22.748
sample00037,92368,monocyte,23510,25.453
sample00037,92368,nk_cell,14367,15.554
sample00038,98897,b_cell,12062,12.197
sample00038,98897,cd4_t_cell,33109,33.478
sample00038,98897,cd8_t_cell,18923,19.134
sample00038,98897,monocyte,20427,20.655
sample00038,98897,nk_cell,14376,14.536
sample00039,107756,b_cell,14634,13.581
sample00039,107756,cd4_t_cell,35553,32.994
sample00039,107756,cd8_t_cell,26888,24.953
sample00039,107756,monocyte,18809,17.455
sample00039,107756,nk_cell,11872,11.017
sample00040,105943,b_cell,11007,10.39
sample00040,105943,cd4_t_cell,25872,24.421
sample00040,105943,cd8_t_cell,25723,24.28
sample00040,105943,monocyte,25016,23.613
sample00040,105943,nk_cell,18325,17.297
sample00041,91358,b_cell,11583,12.679
sample00041,91358,cd4_t_cell,22586,24.723
sample00041,91358,cd8_t_cell,23517,25.742
sample00041,91358,monocyte,19241,21.061
sample00041,91358,nk_cell,14431,15.796
sample00042,111631,b_cell,12118,10.855
sample00042,111631,cd4_t_cell,41403,37.089
sample00042,111631,cd8_t_cell,22342,20.014
sample00042,111631,monocyte,17108,15.325
sample00042,111631,nk_cell,18660,16.716
sample00043,104827,b_cell,4750,4.531
sample00043,104827,cd4_t_cell,36392,34.716
sample00043,104827,cd8_t_cell,23553,22.468
sample00043,104827,monocyte,24363,23.241
sample00043,104827,nk_cell,15769,15.043
sample00044,106034,b_cell,15793,14.894
sample00044,106034,cd4_t_cell,37025,34.918
sample00044,106034,cd8_t_cell,25351,23.908
sample00044,106034,monocyte,13893,13.102
sample00044,106034,nk_cell,13972,13.177
sample00045,104473,b_cell,13792,13.201
sample00045,104473,cd4_t_cell,33714,32.271
sample00045,104473,cd8_t_cell,26314,25.187
sample00045,104473,monocyte,13548,12.968
sample00045,104473,nk_cell,17105,16.373
sample00046,105731,b_cell,7726,7.307
sample00046,105731,cd4_t_cell,29221,27.637
sample00046,105731,cd8_t_cell,25456,24.076
sample00046,105731,monocyte,25427,24.049
sample00046,105731,nk_cell,17901,16.931
sample00047,93338,b_cell,8249,8.838
sample00047,93338,cd4_t_cell,37597,40.28
sample00047,93338,cd8_t_cell,20566,22.034
sample00047,93338,monocyte,15869,17.002
sample00047,93338,nk_cell,11057,11.846
sample00048,105178,b_cell,13648,12.976
sample00048,105178,cd4_t_cell,31150,29.616
sample00048,105178,cd8_t_cell,32565,30.962
sample00048,105178,monocyte,17485,16.624
sample00048,105178,nk_cell,10330,9.821
sample00049,104513,b_cell,11419,10.926
sample00049,104513,cd4_t_cell,29883,28.593
sample00049,104513,cd8_t_cell,20811,19.912
sample00049,104513,monocyte,20669,19.776
sample00049,104513,nk_cell,21731,20.793
sample00050,106504,b_cell,14113,13.251
sample00050,106504,cd4_t_cell,32832,30.827
sample00050,106504,cd8_t_cell,32701,30.704
sample00050,106504,monocyte,12899,12.111
sample00050,106504,nk_cell,13959,13.107
sample00051,88918,b_cell,9765,10.982
sample00051,88918,cd4_t_cell,25644,28.84
sample00051,88918,cd8_t_cell,21622,24.317
sample00051,88918,monocyte,19209,21.603
sample00051,88918,nk_cell,12678,14.258
sample00052,95942,b_cell,11122,11.592
sample00052,95942,cd4_t_cell,21886,22.812
sample00052,95942,cd8_t_cell,30718,32.017
sample00052,95942,monocyte,20577,21.447
sample00052,95942,nk_cell,11639,12.131
sample00053,99135,b_cell,11822,11.925
sample00053,99135,cd4_t_cell,30587,30.854
sample00053,99135,cd8_t_cell,26750,26.983
sample00053,99135,monocyte,22544,22.741
sample00053,99135,nk_cell,7432,7.497
sample00054,99486,b_cell,7782,7.822
sample00054,99486,cd4_t_cell,26399,26.535
sample00054,99486,cd8_t_cell,26235,26.371
sample00054,99486,monocyte,20742,20.849
sample00054,99486,nk_cell,18328,18.423
sample00055,101344,b_cell,11645,11.491
sample00055,101344,cd4_t_cell,34912,34.449
sample00055,101344,cd8_t_cell,23172,22.865
sample00055,101344,monocyte,16223,16.008
sample00055,101344,nk_cell,15392,15.188
sample00056,92361,b_cell,11022,11.934
sample00056,92361,cd4_t_cell,24674,26.715
sample00056,92361,cd8_t_cell,18780,20.333
sample00056,92361,monocyte,20094,21.756
sample00056,92361,nk_cell,17791,19.262
sample00057,111127,b_cell,15157,13.639
sample00057,111127,cd4_t_cell,40906,36.81
sample00057,111127,cd8_t_cell,19991,17.989
sample00057,111127,monocyte,23819,21.434
sample00057,111127,nk_cell,11254,10.127
sample00058,93201,b_cell,10510,11.277
sample00058,93201,cd4_t_cell,28561,30.645
sample00058,93201,cd8_t_cell,20389,21.876
sample00058,93201,monocyte,17442,18.714
sample00058,93201,nk_cell,16299,17.488
sample00059,108944,b_cell,17545,16.105
sample00059,108944,cd4_t_cell,33022,30.311
sample00059,108944,cd8_t_cell,24675,22.649
sample00059,108944,monocyte,19458,17.861
sample00059,108944,nk_cell,14244,13.075
sample00060,103534,b_cell,11035,10.658
sample00060,103534,cd4_t_cell,38817,37.492
sample00060,103534,cd8_t_cell,21406,20.675
sample00060,103534,monocyte,17717,17.112
sample00060,103534,nk_cell,14559,14.062
sample00061,111970,b_cell,4508,4.026
sample00061,111970,cd4_t_cell,38281,34.189
sample00061,111970,cd8_t_cell,34867,31.14
sample00061,111970,monocyte,18301,16.345
sample00061,111970,nk_cell,16013,14.301
sample00062,95286,b_cell,10066,10.564
sample00062,95286,cd4_t_cell,21554,22.62
sample00062,95286,cd8_t_cell,20104,21.099
sample00062,95286,monocyte,26057,27.346
sample00062,95286,nk_cell,17505,18.371
sample00063,93940,b_cell,7236,7.703
sample00063,93940,cd4_t_cell,29335,31.227
sample00063,93940,cd8_t_cell,32409,34.5
sample00063,93940,monocyte,14501,15.436
sample00063,93940,nk_cell,10459,11.134
sample00064,109577,b_cell,10199,9.308
sample00064,109577,cd4_t_cell,33535,30.604
sample00064,109577,cd8_t_cell,24842,22.671
sample00064,109577,monocyte,24701,22.542
sample00064,109577,nk_cell,16300,14.875
sample00065,92559,b_cell,8425,9.102
sample00065,92559,cd4_t_cell,24750,26.74
sample00065,92559,cd8_t_cell,28293,30.568
sample00065,92559,monocyte,18995,20.522
sample00065,92559,nk_cell,12096,13.068
sample00066,107284,b_cell,8052,7.505
sample00066,107284,cd4_t_cell,37350,34.814
sample00066,107284,cd8_t_cell,35323,32.925
sample00066,107284,monocyte,12632,11.774
sample00066,107284,nk_cell,13927,12.981
sample00067,107589,b_cell,11874,11.036
sample00067,107589,cd4_t_cell,29460,27.382
sample00067,107589,cd8_t_cell,24116,22.415
sample00067,107589,monocyte,20737,19.274
sample00067,107589,nk_cell,21402,19.892
sample00068,110245,b_cell,10501,9.525
sample00068,110245,cd4_t_cell,35458,32.163
sample00068,110245,cd8_t_cell,33801,30.66
sample00068,110245,monocyte,23088,20.942
sample00068,110245,nk_cell,7397,6.71
sample00069,110094,b_cell,11742,10.665
sample00069,110094,cd4_t_cell,35087,31.87
sample00069,110094,cd8_t_cell,30825,27.999
sample00069,110094,monocyte,19536,17.745
sample00069,110094,nk_cell,12904,11.721
sample00070,97532,b_cell,9131,9.362
sample00070,97532,cd4_t_cell,31460,32.256
sample00070,97532,cd8_t_cell,21272,21.81
sample00070,97532,monocyte,19761,20.261
sample00070,97532,nk_cell,15908,16.311
sample00071,96197,b_cell,5029,5.228
sample00071,96197,cd4_t_cell,36013,37.437
sample00071,96197,cd8_t_cell,19587,20.361
sample00071,96197,monocyte,15972,16.603
sample00071,96197,nk_cell,19596,20.371
sample00072,93613,b_cell,8730,9.326
sample00072,93613,cd4_t_cell,22481,24.015
sample00072,93613,cd8_t_cell,26500,28.308
sample00072,93613,monocyte,19301,20.618
sample00072,93613,nk_cell,16601,17.734
sample00073,104898,b_cell,10426,9.939
sample00073,104898,cd4_t_cell,26510,25.272
sample00073,104898,cd8_t_cell,28944,27.593
sample00073,104898,monocyte,19567,18.653
sample00073,104898,nk_cell,19451,18.543
sample00074,92232,b_cell,13166,14.275
sample00074,92232,cd4_t_cell,33699,36.537
sample00074,92232,cd8_t_cell,18608,20.175
sample00074,92232,monocyte,11200,12.143
sample00074,92232,nk_cell,15559,16.869
sample00075,104711,b_cell,14480,13.829
sample00075,104711,cd4_t_cell,33149,31.658
sample00075,104711,cd8_t_cell,26460,25.27
sample00075,104711,monocyte,15639,14.935
sample00075,104711,nk_cell,14983,14.309
sample00076,110097,b_cell,12385,11.249
sample00076,110097,cd4_t_cell,37340,33.916
sample00076,110097,cd8_t_cell,23764,21.585
sample00076,110097,monocyte,20907,18.99
sample00076,110097,nk_cell,15701,14.261
sample00077,105432,b_cell,9602,9.107
sample00077,105432,cd4_t_cell,42528,40.337
sample00077,105432,cd8_t_cell,18744,17.778
sample00077,105432,monocyte,17956,17.031
sample00077,105432,nk_cell,16602,15.747
sample00078,107869,b_cell,5623,5.213
sample00078,107869,cd4_t_cell,26856,24.897
sample00078,107869,cd8_t_cell,32983,30.577
sample00078,107869,monocyte,23663,21.937
sample00078,107869,nk_cell,18744,17.377
sample00079,99165,b_cell,5792,5.841
sample00079,99165,cd4_t_cell,32123,32.393
sample00079,99165,cd8_t_cell,32012,32.282
sample00079,99165,monocyte,18446,18.601
sample00079,99165,nk_cell,10792,10.883
sample00080,95727,b_cell,5519,5.765
sample00080,95727,cd4_t_cell,31007,32.391
sample00080,95727,cd8_t_cell,22834,23.853
sample00080,95727,monocyte,18917,19.761
sample00080,95727,nk_cell,17450,18.229
sample00081,93286,b_cell,9595,10.286
sample00081,93286,cd4_t_cell,31245,33.494
sample00081,93286,cd8_t_cell,18940,20.303
sample00081,93286,monocyte,18924,20.286
sample00081,93286,nk_cell,14582,15.631
sample00082,103389,b_cell,6068,5.869
sample00082,103389,cd4_t_cell,30549,29.548
sample00082,103389,cd8_t_cell,31190,30.168
sample00082,103389,monocyte,17682,17.102
sample00082,103389,nk_cell,17900,17.313
sample00083,88242,b_cell,7306,8.28
sample00083,88242,cd4_t_cell,23762,26.928
sample00083,88242,cd8_t_cell,23204,26.296
sample00083,88242,monocyte,17528,19.864
sample00083,88242,nk_cell,16442,18.633
sample00084,100815,b_cell,10469,10.384
sample00084,100815,cd4_t_cell,28340,28.111
sample00084,100815,cd8_t_cell,24997,24.795
sample00084,100815,monocyte,18881,18.728
sample00084,100815,nk_cell,18128,17.981
sample00085,102542,b_cell,13770,13.429
sample00085,102542,cd4_t_cell,26218,25.568
sample00085,102542,cd8_t_cell,32384,31.581
sample00085,102542,monocyte,12907,12.587
sample00085,102542,nk_cell,17263,16.835
sample00086,105610,b_cell,12479,11.816
sample00086,105610,cd4_t_cell,31475,29.803
sample00086,105610,cd8_t_cell,18340,17.366
sample00086,105610,monocyte,16664,15.779
sample00086,105610,nk_cell,26652,25.236
sample00087,91946,b_cell,5686,6.184
sample00087,91946,cd4_t_cell,26848,29.2
sample00087,91946,cd8_t_cell,21892,23.81
sample00087,91946,monocyte,25096,27.294
sample00087,91946,nk_cell,12424,13.512
sample00088,101732,b_cell,6883,6.766
sample00088,101732,cd4_t_cell,31277,30.745
sample00088,101732,cd8_t_cell,23831,23.425
sample00088,101732,monocyte,20748,20.395
sample00088,101732,nk_cell,18993,18.67
sample00089,107271,b_cell,14432,13.454
sample00089,107271,cd4_t_cell,31757,29.604
sample00089,107271,cd8_t_cell,23729,22.121
sample00089,107271,monocyte,22063,20.568
sample00089,107271,nk_cell,15290,14.254
sample00090,102290,b_cell,13492,13.19
sample00090,102290,cd4_t_cell,26759,26.16
sample00090,102290,cd8_t_cell,20490,20.031
sample00090,102290,monocyte,23448,22.923
sample00090,102290,nk_cell,18101,17.696
sample00091,102598,b_cell,4652,4.534
sample00091,102598,cd4_t_cell,33782,32.927
sample00091,102598,cd8_t_cell,30489,29.717
sample00091,102598,monocyte,15790,15.39
sample00091,102598,nk_cell,17885,17.432
sample00092,113429,b_cell,7510,6.621
sample00092,113429,cd4_t_cell,37137,32.74
sample00092,113429,cd8_t_cell,22955,20.237
sample00092,113429,monocyte,23268,20.513
sample00092,113429,nk_cell,22559,19.888
sample00093,109064,b_cell,8676,7.955
sample00093,109064,cd4_t_cell,33280,30.514
sample00093,109064,cd8_t_cell,22893,20.99
sample00093,109064,monocyte,16745,15.353
sample00093,109064,nk_cell,27470,25.187
sample00094,102270,b_cell,13462,13.163
sample00094,102270,cd4_t_cell,23802,23.274
sample00094,102270,cd8_t_cell,19888,19.447
sample00094,102270,monocyte,25885,25.31
sample00094,102270,nk_cell,19233,18.806
sample00095,93081,b_cell,4896,5.26
sample00095,93081,cd4_t_cell,17746,19.065
sample00095,93081,cd8_t_cell,29022,31.179
sample00095,93081,monocyte,27838,29.907
sample00095,93081,nk_cell,13579,14.588
sample00096,108158,b_cell,8717,8.06
sample00096,108158,cd4_t_cell,31047,28.705
sample00096,108158,cd8_t_cell,29369,27.154
sample00096,108158,monocyte,25516,23.591
sample00096,108158,nk_cell,13509,12.49
sample00097,100776,b_cell,11469,11.381
sample00097,100776,cd4_t_cell,25644,25.447
sample00097,100776,cd8_t_cell,25912,25.712
sample00097,100776,monocyte,26747,26.541
sample00097,100776,nk_cell,11004,10.919
sample00098,105304,b_cell,10482,9.954
sample00098,105304,cd4_t_cell,31326,29.748
sample00098,105304,cd8_t_cell,25543,24.256
sample00098,105304,monocyte,23494,22.311
sample00098,105304,nk_cell,14459,13.731
sample00099,107859,b_cell,12589,11.672
sample00099,107859,cd4_t_cell,30346,28.135
sample00099,107859,cd8_t_cell,30282,28.076
sample00099,107859,monocyte,16250,15.066
sample00099,107859,nk_cell,18392,17.052
sample00100,106648,b_cell,12923,12.117
sample00100,106648,cd4_t_cell,32069,30.07
sample00100,106648,cd8_t_cell,24732,23.19
sample00100,106648,monocyte,17589,16.493
sample00100,106648,nk_cell,19335,18.13
sample00101,100154,b_cell,18583,18.554
sample00101,100154,cd4_t_cell,23455,23.419
sample00101,100154,cd8_t_cell,28514,28.47
sample00101,100154,monocyte,17677,17.65
sample00101,100154,nk_cell,11925,11.907
sample00102,102212,b_cell,16339,15.985
sample00102,102212,cd4_t_cell,30765,30.099
sample00102,102212,cd8_t_cell,15936,15.591
sample00102,102212,monocyte,22541,22.053
sample00102,102212,nk_cell,16631,16.271
sample00103,109022,b_cell,8845,8.113
sample00103,109022,cd4_t_cell,40757,37.384
sample00103,109022,cd8_t_cell,29598,27.149
sample00103,109022,monocyte,20436,18.745
sample00103,109022,nk_cell,9386,8.609
sample00104,110049,b_cell,7005,6.365
sample00104,110049,cd4_t_cell,37678,34.237
sample00104,110049,cd8_t_cell,22323,20.285
sample00104,110049,monocyte,20200,18.355
sample00104,110049,nk_cell,22843,20.757
sample00105,97807,b_cell,10654,10.893
sample00105,97807,cd4_t_cell,27062,27.669
sample00105,97807,cd8_t_cell,20879,21.347
sample00105,97807,monocyte,24268,24.812
sample00105,97807,nk_cell,14944,15.279
sample00106,93933,b_cell,10373,11.043
sample00106,93933,cd4_t_cell,31487,33.521
sample00106,93933,cd8_t_cell,17211,18.323
sample00106,93933,monocyte,19680,20.951
sample00106,93933,nk_cell,15182,16.163
sample00107,102371,b_cell,17623,17.215
sample00107,102371,cd4_t_cell,41127,40.174
sample00107,102371,cd8_t_cell,22928,22.397
sample00107,102371,monocyte,10158,9.923
sample00107,102371,nk_cell,10535,10.291
sample00108,97245,b_cell,4983,5.124
sample00108,97245,cd4_t_cell,26215,26.958
sample00108,97245,cd8_t_cell,27559,28.34
sample00108,97245,monocyte,21483,22.092
sample00108,97245,nk_cell,17005,17.487
sample00109,104944,b_cell,13509,12.873
sample00109,104944,cd4_t_cell,37336,35.577
sample00109,104944,cd8_t_cell,20448,19.485
sample00109,104944,monocyte,14045,13.383
sample00109,104944,nk_cell,19606,18.682
sample00110,97311,b_cell,11477,11.794
sample00110,97311,cd4_t_cell,34048,34.989
sample00110,97311,cd8_t_cell,23447,24.095
sample00110,97311,monocyte,14957,15.37
sample00110,97311,nk_cell,13382,13.752
sample00111,102821,b_cell,15992,15.553
sample00111,102821,cd4_t_cell,35615,34.638
sample00111,102821,cd8_t_cell,23376,22.735
sample00111,102821,monocyte,12438,12.097
sample00111,102821,nk_cell,15400,14.977
sample00112,99754,b_cell,8100,8.12
sample00112,99754,cd4_t_cell,32544,32.624
sample00112,99754,cd8_t_cell,25296,25.358
sample00112,99754,monocyte,21547,21.6
sample00112,99754,nk_cell,12267,12.297
sample00113,108308,b_cell,8777,8.104
sample00113,108308,cd4_t_cell,33746,31.157
sample00113,108308,cd8_t_cell,28919,26.701
sample00113,108308,monocyte,26475,24.444
sample00113,108308,nk_cell,10391,9.594
sample00114,106352,b_cell,13741,12.92
sample00114,106352,cd4_t_cell,31383,29.509
sample00114,106352,cd8_t_cell,28857,27.133
sample00114,106352,monocyte,14283,13.43
sample00114,106352,nk_cell,18088,17.008
sample00115,92639,b_cell,5722,6.177
sample00115,92639,cd4_t_cell,29410,31.747
sample00115,92639,cd8_t_cell,23044,24.875
sample00115,92639,monocyte,19301,20.835
sample00115,92639,nk_cell,15162,16.367
sample00116,99836,b_cell,6304,6.314
sample00116,99836,cd4_t_cell,39506,39.571
sample00116,99836,cd8_t_cell,18835,18.866
sample00116,99836,monocyte,15765,15.791
sample00116,99836,nk_cell,19426,19.458
sample00117,93271,b_cell,8561,9.179
sample00117,93271,cd4_t_cell,23471,25.164
sample00117,93271,cd8_t_cell,28864,30.946
sample00117,93271,monocyte,18522,19.858
sample00117,93271,nk_cell,13853,14.852
sample00118,96176,b_cell,8314,8.645
sample00118,96176,cd4_t_cell,26165,27.205
sample00118,96176,cd8_t_cell,28113,29.231
sample00118,96176,monocyte,16145,16.787
sample00118,96176,nk_cell,17439,18.132
sample00119,109329,b_cell,10519,9.621
sample00119,109329,cd4_t_cell,29357,26.852
sample00119,109329,cd8_t_cell,24245,22.176
sample00119,109329,monocyte,29544,27.023
sample00119,109329,nk_cell,15664,14.327
sample00120,99469,b_cell,5301,5.329
sample00120,99469,cd4_t_cell,28293,28.444
sample00120,99469,cd8_t_cell,25850,25.988
sample00120,99469,monocyte,21026,21.138
sample00120,99469,nk_cell,18999,19.1
sample00121,100448,b_cell,6109,6.082
sample00121,100448,cd4_t_cell,28027,27.902
sample00121,100448,cd8_t_cell,23796,23.69
sample00121,100448,monocyte,23633,23.528
sample00121,100448,nk_cell,18883,18.799
sample00122,102361,b_cell,9758,9.533
sample00122,102361,cd4_t_cell,31029,30.313
sample00122,102361,cd8_t_cell,28775,28.111
sample00122,102361,monocyte,21255,20.765
sample00122,102361,nk_cell,11544,11.278
sample00123,101404,b_cell,8588,8.469
sample00123,101404,cd4_t_cell,29889,29.475
sample00123,101404,cd8_t_cell,26624,26.255
sample00123,101404,monocyte,19142,18.877
sample00123,101404,nk_cell,17161,16.923
sample00124,91040,b_cell,7220,7.931
sample00124,91040,cd4_t_cell,28332,31.12
sample00124,91040,cd8_t_cell,23608,25.931
sample00124,91040,monocyte,19553,21.477
sample00124,91040,nk_cell,12327,13.54
sample00125,108174,b_cell,18039,16.676
sample00125,108174,cd4_t_cell,27052,25.008
sample00125,108174,cd8_t_cell,34464,31.86
sample00125,108174,monocyte,15254,14.101
sample00125,108174,nk_cell,13365,12.355
sample00126,93769,b_cell,8794,9.378
sample00126,93769,cd4_t_cell,29419,31.374
sample00126,93769,cd8_t_cell,21622,23.059
sample00126,93769,monocyte,21082,22.483
sample00126,93769,nk_cell,12852,13.706
sample00127,105638,b_cell,12536,11.867
sample00127,105638,cd4_t_cell,24468,23.162
sample00127,105638,cd8_t_cell,25347,23.994
sample00127,105638,monocyte,23448,22.197
sample00127,105638,nk_cell,19839,18.78
